Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-06-26,"₫856,600"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-06-26,"₫1,122,000"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-06-27,"₫1,209,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-06-28,"₫856,600"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-06-28,"₫1,122,000"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-06-29,"₫1,209,000"
DIN,HAN,7:00 PM,7:50 PM,Vietnam Airlines,50 min,2024-06-30,"₫1,511,000"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-06-30,"₫1,630,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-01,"₫1,094,200"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-07-02,"₫1,209,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-03,"₫1,007,800"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-05,"₫1,094,200"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-07-06,"₫1,209,000"
DIN,HAN,,,,,2024-07-06,
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-07-07,"₫1,511,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-08,"₫1,007,800"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-07-09,"₫1,122,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-10,"₫921,400"
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-07-11,"₫1,122,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-12,"₫1,094,200"
DIN,HAN,,,,,2024-07-12,
DIN,HAN,2:40 PM,3:40 PM,Vietnam Airlines,1 hr,2024-07-13,"₫1,209,000"
DIN,HAN,4:20 PM,5:00 PM,VietJet Air,40 min,2024-07-15,"₫921,400"
